point	title	description	iconSize	iconOffset	icon
55.036,-2.223	<a href="http://en.wikipedia.org/wiki/Cilurnum" target="pedia">Cilurnum</a>	<div style="max-width: 250px;">Geo 55.036, -2.223<br>Auxiliarkastell<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
54.976,-1.663	<a href="http://en.wikipedia.org/wiki/Condercum" target="pedia">Condercum</a>	<div style="max-width: 250px;">Geo 54.976, -1.663<br>Kohortenkastell<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
55.0044305556,-1.43106944444	<a href="http://de.wikipedia.org/wiki/Kastell Arbeia" target="pedia">Kastell Arbeia</a>	<div style="max-width: 250px;">Geo 55.0044305556, -1.43106944444<br>Alenkastell<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
54.7208333333,-3.49388888889	<a href="http://kein Artikel/wiki/Kastell Alauna " target="pedia">Kastell Alauna </a>	<div style="max-width: 250px;">Geo 54.7208333333, -3.49388888889<br>Kohortenkastell<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
54.5741666667,-3.57631944444	<a href="http://kein Artikel/wiki/Kastell Gabrosentum" target="pedia">Kastell Gabrosentum</a>	<div style="max-width: 250px;">Geo 54.5741666667, -3.57631944444<br>Kohortenkastell<br>Provinz Britannia<br>Hadrianswall<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
54.4027277778,-3.2054	<a href="http://en.wikipedia.org/wiki/Hardknott Roman Fort" target="pedia">Hardknott Roman Fort</a>	<div style="max-width: 250px;">Geo 54.4027277778, -3.2054<br>Auxiliarkastell<br>Provinz Britannia inferior<br>Hadrianswall, r&#252;ckw&#228;rtige Linie, (Hartknottpass)<br>Mitte des 2. Jahrhundert n.Chr. leerstehend, wiederbesetzt um 200</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
53.81035,-2.53082777778	<a href="http://en.wikipedia.org/wiki/Bremetennacum" target="pedia">Bremetennacum</a>	<div style="max-width: 250px;">Geo 53.81035, -2.53082777778<br>Alenkastell <br>Provinz Britannia inferior<br>Nordbritannien<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
51.3793333333,1.19986111111	<a href="http://de.wikipedia.org/wiki/Kastell Regulbium" target="pedia">Kastell Regulbium</a>	<div style="max-width: 250px;">Geo 51.3793333333, 1.19986111111<br>Kohortenkastell, Flottenstation (?)<br>Provinz Britannia<br>Litus Saxonicum<br>1. bis 4 Jahrhundert n. Chr.</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
51.2933722222,1.33256388889	<a href="http://de.wikipedia.org/wiki/Kastell Rutupiae" target="pedia">Kastell Rutupiae</a>	<div style="max-width: 250px;">Geo 51.2933722222, 1.33256388889<br><br>Provinz Britannia<br>Litus Saxonicum<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
53.1915027778,-2.89288611111	<a href="http://en.wikipedia.org/wiki/Deva Victrix" target="pedia">Deva Victrix</a>	<div style="max-width: 250px;">Geo 53.1915027778, -2.89288611111<br>Legionslager<br>Provinz Britannia<br>Midlands (Cheshire)<br>Ende des 2. Jahrhundert n.Chr. vor&#252;bergehend aufgegeben</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
51.6106472222,-2.95538611111	<a href="http://de.wikipedia.org/wiki/    Isca Silurum" target="pedia">    Isca Silurum</a>	<div style="max-width: 250px;">Geo 51.6106472222, -2.95538611111<br>Legionslager<br>Provinz Britannia<br>Wales<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
53.1372222222,-4.26583333333	<a href="http://de.wikipedia.org/wiki/Kastell Segontium" target="pedia">Kastell Segontium</a>	<div style="max-width: 250px;">Geo 53.1372222222, -4.26583333333<br>Kohortenkastell, Alenkastell<br>Provinz Britannia<br>Wales<br>1. bis sp&#228;tes 4. Jahrhundert</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
51.6113888889,-2.76819444444	<a href="http://de.wikipedia.org/wiki/Venta Silurum" target="pedia">Venta Silurum</a>	<div style="max-width: 250px;">Geo 51.6113888889, -2.76819444444<br>Civitashauptstadt, milit&#228;rische Pr&#228;senz im 4. Jahrhundert<br>Provinz Britannia<br>Wales<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
51.4822222222,-3.18111111111	<a href="http://en.wikipedia.org/wiki/Kastell Cardiff C" target="pedia">Kastell Cardiff C</a>	<div style="max-width: 250px;">Geo 51.4822222222, -3.18111111111<br>Auxiliarkastell<br>Provinz Britannia<br>Wales<br>hadrianisch (?)</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
51.2726388889,3.44666666667	<a href="http://kein Artikel/wiki/Kastell Aardenburg" target="pedia">Kastell Aardenburg</a>	<div style="max-width: 250px;">Geo 51.2726388889, 3.44666666667<br>Kohortenkastell<br>Provinz Germania inferior<br>Niedergermanischer Limes<br>um 172/174 bis um 270</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
52.0601694444,4.34921388889	<a href="http://nl.wikipedia.org/wiki/Forum Hadriani" target="pedia">Forum Hadriani</a>	<div style="max-width: 250px;">Geo 52.0601694444, 4.34921388889<br>Zivilsiedlung, milit&#228;rische Nutzung unsicher<br>Provinz Germania inferior<br>Niedergermanischer Limes<br>Corbulo bis ins 3. Jh.</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
52.1797222222,4.43166666667	<a href="http://nl.wikipedia.org/wiki/Praetorium Agrippinae" target="pedia">Praetorium Agrippinae</a>	<div style="max-width: 250px;">Geo 52.1797222222, 4.43166666667<br>Kohortenkastell<br>Provinz Germania inferior<br>Niedergermanischer Limes<br>70 bis 240/275</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
52.1497111111,4.51840555556	<a href="http://nl.wikipedia.org/wiki/Matilo" target="pedia">Matilo</a>	<div style="max-width: 250px;">Geo 52.1497111111, 4.51840555556<br>Kohortenkastell<br>Provinz Germania inferior<br>Niedergermanischer Limes<br>ab ca. 47(?) bis ins 3. Viertel des 3. Jh.</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
52.1294027778,4.66161944444	<a href="http://nl.wikipedia.org/wiki/Albaniana" target="pedia">Albaniana</a>	<div style="max-width: 250px;">Geo 52.1294027778, 4.66161944444<br>Kohortenkastell<br>Provinz Germania inferior<br>Niedergermanischer Limes<br>um 50 bis ins 3. Viertel des 3. Jh.</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
52.1050972222,4.715925	<a href="http://nl.wikipedia.org/wiki/Nigrum Pullum" target="pedia">Nigrum Pullum</a>	<div style="max-width: 250px;">Geo 52.1050972222, 4.715925<br>Vexillationskastell<br>Provinz Germania inferior<br>Niedergermanischer Limes<br>Corbulo bis Zerst&#246;rung um 260</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
52.0860638889,4.88395277778	<a href="http://nl.wikipedia.org/wiki/Laurium (castellum)" target="pedia">Laurium (castellum)</a>	<div style="max-width: 250px;">Geo 52.0860638889, 4.88395277778<br>Kohortenkastell<br>Provinz Germania inferior<br>Niedergermanischer Limes<br>Corbulo bis ins 3. Jh.</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
52.0872222222,5.04194444444	<a href="http://nl.wikipedia.org/wiki/Fletio" target="pedia">Fletio</a>	<div style="max-width: 250px;">Geo 52.0872222222, 5.04194444444<br>Kohortenkastell<br>Provinz Germania inferior<br>Niedergermanischer Limes<br>Corbulo bis ins 3. Jh.</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
52.0906916667,5.12164166667	<a href="http://nl.wikipedia.org/wiki/Traiectum (Utrecht)" target="pedia">Traiectum (Utrecht)</a>	<div style="max-width: 250px;">Geo 52.0906916667, 5.12164166667<br>Kohortenkastell<br>Provinz Germania inferior<br>Niedergermanischer Limes<br>Corbulo bis ca 260(?)</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
52.0561111111,5.16555555556	<a href="http://nl.wikipedia.org/wiki/Fectio" target="pedia">Fectio</a>	<div style="max-width: 250px;">Geo 52.0561111111, 5.16555555556<br>Auxiliarkastell<br>Provinz Germania inferior<br>Niedergermanischer Limes<br>ca. 70 bis ca. 270(?)</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
51.9625,5.35277777778	<a href="http://de.wikipedia.org/wiki/Levefanum" target="pedia">Levefanum</a>	<div style="max-width: 250px;">Geo 51.9625, 5.35277777778<br>Kohortenkastell<br>Provinz Germania inferior<br>Niedergermanischer Limes<br>claudisch bis um 270</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
51.9594444444,5.82083333333	<a href="http://de.wikipedia.org/wiki/Kastell Overbetuwe-Driel" target="pedia">Kastell Overbetuwe-Driel</a>	<div style="max-width: 250px;">Geo 51.9594444444, 5.82083333333<br>Auxiliarkastell<br>Provinz Germania inferior<br>Niedergermanischer Limes<br>10/20 n. Chr. bis 260(?)</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
51.9208333333,5.9875	<a href="http://de.wikipedia.org/wiki/Kastell Duiven-Loowaard" target="pedia">Kastell Duiven-Loowaard</a>	<div style="max-width: 250px;">Geo 51.9208333333, 5.9875<br>Auxiliarkastell<br>Provinz Germania inferior, Germania secunda<br>Niedergermanischer Limes, Donau-Iller-Rhein-Limes<br>um 40/50 bis/erneut 4. Jh.(?)</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
51.8686111111,6.0875	<a href="http://de.wikipedia.org/wiki/Carvium" target="pedia">Carvium</a>	<div style="max-width: 250px;">Geo 51.8686111111, 6.0875<br>Kohortenkastell<br>Provinz Germania inferior<br>Niedergermanischer Limes<br>um 40/50 bis 275</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
51.7777777778,6.17888888889	<a href="http://de.wikipedia.org/wiki/Quadriburgium" target="pedia">Quadriburgium</a>	<div style="max-width: 250px;">Geo 51.7777777778, 6.17888888889<br>Kleinkastell<br>Provinz Germania inferior<br>Niedergermanischer Limes<br>69/70 n. Chr. bis Anfang 5. Jh. n. Chr.</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
51.7591666667,6.23444444444	<a href="http://de.wikipedia.org/wiki/Kastell Steincheshof" target="pedia">Kastell Steincheshof</a>	<div style="max-width: 250px;">Geo 51.7591666667, 6.23444444444<br>Auxiliarkastell<br>Provinz Germania inferior<br>Niedergermanischer Limes<br>flavisch bis 3. Jh.</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
51.7138888889,6.31888888889	<a href="http://de.wikipedia.org/wiki/Burginatium" target="pedia">Burginatium</a>	<div style="max-width: 250px;">Geo 51.7138888889, 6.31888888889<br>Alenkastell<br>Provinz Germania inferior, Germania secunda<br>Niedergermanischer Limes, Donau-Iller-Rhein-Limes<br>tiberisch bis Ende 4. Jh.</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
51.6513888889,6.49	<a href="http://de.wikipedia.org/wiki/Vetera" target="pedia">Vetera</a>	<div style="max-width: 250px;">Geo 51.6513888889, 6.49<br>Legionslager<br>Provinz Germania inferior<br>Niedergermanischer Limes<br>71 bis 275/276</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
51.4222222222,6.71111111111	<a href="http://de.wikipedia.org/wiki/Kleinkastell Werthausen" target="pedia">Kleinkastell Werthausen</a>	<div style="max-width: 250px;">Geo 51.4222222222, 6.71111111111<br>Kleinkastell<br>Provinz Germania inferior<br>Niedergermanischer Limes<br>Ende 1. Jh. n. Chr. (um 85?) bis Mitte 3. Jh. n. Chr.</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
51.3331944444,6.6825	<a href="http://de.wikipedia.org/wiki/Gelduba" target="pedia">Gelduba</a>	<div style="max-width: 250px;">Geo 51.3331944444, 6.6825<br>Alenkastell<br>Provinz Germania inferior<br>Niedergermanischer Limes<br>a) 80/85 bis Mitte 2. Jh., b) Mitte bis Ende 2. Jh., c) Ende 2. Jh. bis um 260</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
51.1838888889,6.72194444444	<a href="http://de.wikipedia.org/wiki/Novaesium" target="pedia">Novaesium</a>	<div style="max-width: 250px;">Geo 51.1838888889, 6.72194444444<br>Alenkastell<br>Provinz Germania inferior<br>Niedergermanischer Limes<br>Ende 1. oder Anfang 2. Jh. bis 256/257 oder bis 275/276</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
51.0925,6.84055555556	<a href="http://de.wikipedia.org/wiki/Durnomagus" target="pedia">Durnomagus</a>	<div style="max-width: 250px;">Geo 51.0925, 6.84055555556<br>Alenkastell<br>Provinz Germania inferior, Germania secunda<br>Niedergermanischer Limes, Donau-Iller-Rhein-Limes<br>a) domitianisch, b) fr&#252;htrajanisch, c) antoninisch bis um 200, d) um 275, e) 4. Jahrhundert</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.9041666667,6.97944444444	<a href="http://de.wikipedia.org/wiki/Flottenkastell Alteburg" target="pedia">Flottenkastell Alteburg</a>	<div style="max-width: 250px;">Geo 50.9041666667, 6.97944444444<br>Flottenkastell<br>Provinz Germania inferior<br>Niedergermanischer Limes<br>claudisch-neronisch bis 2. H&#228;lfte 3. Jh.</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.745,7.1	<a href="http://kein Artikel/wiki/Bonna" target="pedia">Bonna</a>	<div style="max-width: 250px;">Geo 50.745, 7.1<br>Legionslager<br>Provinz Germania inferior, Germania secunda<br>Niedergermanischer Limes<br>tiberisch-claudisch bis Sp&#228;tantike</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.5795833333,7.22736111111	<a href="http://de.wikipedia.org/wiki/Rigomagus" target="pedia">Rigomagus</a>	<div style="max-width: 250px;">Geo 50.5795833333, 7.22736111111<br>Kohortenkastell<br>Provinz Germania inferior<br>Niedergermanischer Limes<br>a) claudisch bis vespasianisch, b) vespasianisch bis 2. H&#228;lfte 3. Jh.</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.5035277778,7.31931388889	<a href="http://de.wikipedia.org/wiki/Kleinkastell Rheinbrohl" target="pedia">Kleinkastell Rheinbrohl</a>	<div style="max-width: 250px;">Geo 50.5035277778, 7.31931388889<br>Kleinkastell<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 1: Rhein-Lahn<br>um 180/190 bis ?</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.5132388889,7.3427	<a href="http://kein Artikel/wiki/Wp 1/5 Steinturm" target="pedia">Wp 1/5 Steinturm</a>	<div style="max-width: 250px;">Geo 50.5132388889, 7.3427<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 1: Rhein-Lahn<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.5138166667,7.35618611111	<a href="http://kein Artikel/wiki/Wp 1/7 Steinturm" target="pedia">Wp 1/7 Steinturm</a>	<div style="max-width: 250px;">Geo 50.5138166667, 7.35618611111<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 1: Rhein-Lahn<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.513175,7.36557222222	<a href="http://kein Artikel/wiki/Wp 1/8 Steinturm West" target="pedia">Wp 1/8 Steinturm West</a>	<div style="max-width: 250px;">Geo 50.513175, 7.36557222222<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 1: Rhein-Lahn<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.5131055556,7.36572777778	<a href="http://kein Artikel/wiki/Wp 1/8 Steinturm Ost" target="pedia">Wp 1/8 Steinturm Ost</a>	<div style="max-width: 250px;">Geo 50.5131055556, 7.36572777778<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 1: Rhein-Lahn<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.5115083333,7.37163611111	<a href="http://kein Artikel/wiki/Wp 1/9 Steinturm" target="pedia">Wp 1/9 Steinturm</a>	<div style="max-width: 250px;">Geo 50.5115083333, 7.37163611111<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 1: Rhein-Lahn<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.5103055556,7.37572222222	<a href="http://kein Artikel/wiki/Wp 1/10 Steinturm" target="pedia">Wp 1/10 Steinturm</a>	<div style="max-width: 250px;">Geo 50.5103055556, 7.37572222222<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 1: Rhein-Lahn<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.5040638889,7.37683888889	<a href="http://kein Artikel/wiki/Wp 1/11 Steinturm" target="pedia">Wp 1/11 Steinturm</a>	<div style="max-width: 250px;">Geo 50.5040638889, 7.37683888889<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 1: Rhein-Lahn<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.4998722222,7.37991388889	<a href="http://kein Artikel/wiki/Wp 1/12 Steinturm" target="pedia">Wp 1/12 Steinturm</a>	<div style="max-width: 250px;">Geo 50.4998722222, 7.37991388889<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 1: Rhein-Lahn<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
